ticker;name;volume;last_price;variation
CNTO3;CNTO3;2083600;28.08;4.78
TIET4;AES Tietê Energia;323700;3.51;1.15
TIET3;AES Tietê Energia;169100;3.49;0.87
CORR4;Corrêa Ribeiro;100;82.00;18.84
CEPE3;CELPE;1300;128.00;85.32
CALI4;Adolpho Lindenberg;100;50.00;4.17
SNSY6;Sansuy;100;11.51;4.64
CASN4;CASAN;100;10.00;-16.67
EMAE3;EMAE;100;26.01;33.25
BPAR3;Banpará;100;182.07;20.58
APTI4;Aliperti;200;3500.00;-61.96
VSPT3;FCA;1000000;4999999.50;114.29
MTIG3;Metalgráfica Iguaçu;400;156.30;29.60
FIGE4;Investimentos Bemge;100;38.01;-4.97
LUXM3;Trevisa;200;2.50;8.23
TKNO3;Tekno;100;85.79;10.64
COCE6;Coelce;100;35.00;16.63
MGEL3;Mangels;100;75.00;8.70
CTSA8;Santanense;2000;1.00;0.00
MMAQ4;Minasmáquinas;14;200.06;-28.55
