s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-09-26;1695686400000;OGHY11.SA;10.4;10.4;10.31;10.4;10.18;226;fii;;;;;62.54
2023-09-27;1695772800000;OGHY11.SA;10.4;10.4;10.31;10.39;10.17;192;fii;;;;;61.81
2023-09-28;1695859200000;OGHY11.SA;10.19;10.5;10.19;10.4;10.18;153;fii;;;;;62.28
2023-09-29;1695945600000;OGHY11.SA;10.5;10.5;10.25;10.5;10.28;824;fii;;;;;66.73
2023-10-02;1696204800000;OGHY11.SA;10.36;10.45;10.32;10.44;10.35;74;fii;;;;;69.45
2023-10-03;1696291200000;OGHY11.SA;10.65;10.65;10.21;10.44;10.35;501;fii;;;;;69.45
2023-10-04;1696377600000;OGHY11.SA;10.65;10.78;10.65;10.69;10.6;41;fii;;;;;77.17
2023-10-05;1696464000000;OGHY11.SA;10.91;10.91;10.65;10.69;10.6;1026;fii;;;;;77.17
2023-10-06;1696550400000;OGHY11.SA;10.91;10.91;10.4;10.68;10.59;541;fii;;;;;76.28
2023-10-09;1696809600000;OGHY11.SA;10.89;11.02;10.41;10.41;10.32;3167;fii;;;;;57.05
2023-10-10;1696896000000;OGHY11.SA;10.69;11.04;10.41;11.04;10.95;185;fii;;;;;73.71
2023-10-11;1696982400000;OGHY11.SA;11.0;13.82;10.41;10.41;10.32;526;fii;;;;;51.99
2023-10-13;1697155200000;OGHY11.SA;10.42;10.45;10.25;10.45;10.36;997;fii;;;;;52.94
2023-10-16;1697414400000;OGHY11.SA;10.45;10.45;10.3;10.45;10.36;2034;fii;;;;;52.94
2023-10-17;1697500800000;OGHY11.SA;10.45;10.45;10.25;10.44;10.35;809;fii;;;;;52.64
2023-10-18;1697587200000;OGHY11.SA;10.44;10.53;10.4;10.5;10.41;1655;fii;;;;;54.32
2023-10-19;1697673600000;OGHY11.SA;10.5;10.5;10.32;10.5;10.41;445;fii;;;;;54.32
2023-10-20;1697760000000;OGHY11.SA;10.5;10.53;10.46;10.53;10.44;129;fii;;;;;55.24
2023-10-23;1698019200000;OGHY11.SA;10.59;10.6;9.97;10.43;10.34;1264;fii;;;;;51.51
2023-10-24;1698105600000;OGHY11.SA;10.6;10.6;10.4;10.59;10.5;310;fii;;;;;56.56
2023-10-25;1698192000000;OGHY11.SA;10.6;10.6;10.41;10.45;10.36;76;fii;;;;;51.51
